placeholder,type,name,met
"pl","Running","Running, marathon",13.3,
"pl","Running","Running uphill, 4.5mph, 5% incline",10.3,
"pl","Running","Running uphill, 6.0 mph, 5% incline",13.3,
"pl","Running","Running uphill, 7.0 mph, 5% incline",15.5,
"pl","Running","Running uphill, 5.0 to 5.9 mph, 15% incline",17.5,
"pl","Running","Running uphill, 0.6 to 0.79 mph, 30% incline",8.8,
"pl","Running","Running uphill, 0.8 to 0.99 mph, 30% incline",10.3,
"pl","Running","Running uphill, 1.0 to 1.19 mph, 30% incline",11.8,
"pl","Running","Running uphill, 1.2 to 1.39 mph, 30-40% incline",13.5,
"pl","Running","Running uphill, 1.4 to 1.59 mph, 30% incline",14.8,
"pl","Running","Running uphill, >1.6mph, 10-30% incline",16.3,
"pl","Running","Running, hilly terrain, ±100m change in elevation ",16.0,
"pl","Running","Running downhill, 5.0 to 5.9 mph, -10% to -15%",5.8,
"pl","Running","Running downhill, 6.0 to 6.9 mph, -10% to -15%",7.5,
"pl","Running","Running downhill, 7.0 to 8.9 mph, -10% to -15%",9.0,
"pl","Running","Running downhill, 6.0 to 7.9 mph, -3% to -9%",9.3,
"pl","Running","Running downhill, 8.0 to 10.5 mph, -3% to -9%",13.8,
"pl","Running","Running/jogging, curved treadmill, 3.0 to 3.9 mph",5.3,
"pl","Running","Running/jogging, curved treadmill, 4.0 to 4.9 mph",6.5,
"pl","Running","Running curved treadmill, 5.0 to 5.9 mph",11.0,
"pl","Running","Running curved treadmill, 7.0 to 7.9 mph",12.0,
"pl","Running","Running curved treadmill, 8.0 to 8.9 mph",14.0,
"pl","Running","Running curved treadmill, 9.0 to 9.9 mph",16.8,
"pl","Running","Running, 5.0 - 5.9 mph, 1.0 to 3.0 kg backpack",8.5,
"pl","Running","Running, 6.0 - 6.9 mph, 1.0 to 3.0 kg backpack",9.5,
"pl","Running","Running, 7.0 - 7.9 mph, 1.0 to 3.0 kg backpack",9.8,
"pl","Running","Running, 8.0 - 8.9 mph, 1.0 to 3.0 kg backpack",12.0,
"pl","Running","Running, barefoot, 3.5-5.9 mph",7.8,
"pl","Running","Running, barefoot, 6.0-7.9 mph",12.0,
"pl","Running","Running, barefoot, 8.0-8.9 mph",13.5,
"pl","Running","Running, jogging stroller, indoors, 5 mph",8.0,
"pl","Running","Running, jogging stroller, indoors, 6 mph",9.0,
"pl","Running","Running, jogging stroller, outdoors, 5 mph",10.0,
"pl","Running","Running, jogging stroller, outdoors, 6 mph",11.5,
"pl","Running","Skipping, 5.5-6.0 mph",11.5,
"pl","Running","Triathlon, Running",13.0,
"pl","Sports","Alaska Native Games, Eskimo Olympics, general",5.5,
"pl","Sports","Archery (non-hunting)",4.3,
"pl","Sports","Badminton, competitive (Taylor Code 450)",7.0,
"pl","Sports","Badminton, competitive, match play",9.0,
"pl","Sports","Badminton, social singles and doubles, general",5.5,
"pl","Sports","Basketball, game (Taylor Code 490)",8.0,
"pl","Sports","Basketball, non-game, general (Taylor Code 480)",6.0,
"pl","Sports","Basketball, general",7.5,
"pl","Sports","Basketball, officiating (Taylor Code 500)",7.0,
"pl","Sports","Basketball, officiating",5.8,
"pl","Sports","Basketball, shooting baskets",5.0,
"pl","Sports","Basketball, drills, practice",9.3,
"pl","Sports","Billiards",2.5,
"pl","Sports","Bowling (Taylor Code 390)",3.0,
"pl","Sports","Bowling, indoor, bowling alley",3.8,
"pl","Sports","Boxing, in ring, general",12.3,
"pl","Sports","Boxing, punching bag",5.8,
"pl","Sports","Boxing, punching bag, 60 b/min",7.0,
"pl","Sports","Boxing, punching bag, 120 b/min",8.5,
"pl","Sports","Boxing, punching bag, 180 b/min",10.8,
"pl","Sports","Boxing, sparring",7.8,
"pl","Sports","Boxing, simulated boxing round, exercise",9.3,
"pl","Sports","Broomball",7.0,
